2024-10-24 12:59:07,508 - DEBUG - __main__ - Associated store: 1 
2024-10-24 12:59:07,508 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 12:59:07,508 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 12:59:07,508 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 13:00:11,340 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 13:00:11,340 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 13:00:11,340 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 13:00:11,340 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 13:00:11,340 - DEBUG - __main__ - Associated store: 1 
2024-10-24 13:00:11,340 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 13:00:11,340 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 13:00:11,340 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 13:00:53,673 - DEBUG - __main__ - Request successful!
2024-10-24 13:00:53,673 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 13:00:53,673 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 13:01:25,783 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 13:01:25,783 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 13:01:25,783 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 13:01:25,783 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 13:01:25,783 - DEBUG - __main__ - Associated store: 1 
2024-10-24 13:01:25,783 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 13:01:25,783 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 13:01:25,783 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 13:03:46,761 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 13:03:46,761 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 13:03:46,761 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 13:03:46,761 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 13:03:46,761 - DEBUG - __main__ - Associated store: 1 
2024-10-24 13:03:46,761 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 13:03:46,761 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 13:03:46,761 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 13:03:56,167 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-24 13:03:59,471 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-24 13:04:00,964 - DEBUG - __main__ - Request successful!
2024-10-24 13:04:00,964 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 13:04:01,393 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 13:04:02,799 - DEBUG - __main__ - Request successful!
2024-10-24 13:04:02,799 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-24 13:04:03,260 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-24 14:05:04,783 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 14:05:04,783 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 14:05:04,783 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 14:05:04,792 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 14:05:04,792 - DEBUG - __main__ - Associated store: 1 
2024-10-24 14:05:04,792 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 14:05:04,792 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 14:05:04,792 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 14:05:06,623 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-24 14:05:07,091 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-24 14:05:08,806 - DEBUG - __main__ - Request successful!
2024-10-24 14:05:08,806 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 14:05:10,324 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 14:05:11,723 - DEBUG - __main__ - Request successful!
2024-10-24 14:05:11,723 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-24 14:05:12,399 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-24 14:05:15,601 - DEBUG - __main__ - Initiating a DB Connection
2024-10-24 14:05:17,698 - DEBUG - __main__ - DB Connection : 0 
2024-10-24 14:05:20,811 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852059
2024-10-24 14:08:41,639 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 14:08:41,639 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 14:08:41,639 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 14:08:41,639 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 14:08:41,639 - DEBUG - __main__ - Associated store: 1 
2024-10-24 14:08:41,639 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 14:08:41,639 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 14:08:41,639 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 14:08:42,652 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-24 14:08:42,652 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-24 14:08:42,986 - DEBUG - __main__ - Request successful!
